#SampleID,#SampleID,empo_0,empo_1,empo_2,empo_3,averagecopy
1632.E2B04.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,5.560226706071193
1632.E2B05.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,3.777359671604242
1632.E2B06.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,4.47934408526998
1632.E2B07.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,3.1302391530591476
1632.E2B08.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,4.192099498074452
1632.E2B09.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,4.271401272947031
1632.E2B10.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,3.96861981074284
1632.E2B11.r.EMPbird.v4.NoIndex.L001,,EMP sample,Host-associated,Animal,Animal surface,4.850837941094768
1632.E2B12.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,4.165650694058701
1632.E2C01.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,3.611150310934151
1632.E2C02.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,5.181397702264092
1632.E2C03.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,5.34124458744465
1632.E2C04.r.EMPbird.v4.NoIndex.L001,,EMP sample,Host-associated,Animal,Animal surface,3.2465019768488177
1632.E2C05.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,5.918301371899121
1632.E2C06.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,3.5341964876657124
1632.E2C07.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,4.518803431902738
1632.E2C08.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,4.4339602753519625
1632.E2C09.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,5.267963513649511
1632.E2C10.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,3.799136531137532
1632.E2C11.r.EMPbird.v4.NoIndex.L001,,EMP sample,Host-associated,Animal,Animal surface,4.62023266416863
1632.E2C12.r.EMPbird.v4.NoIndex.L001,,EMP sample,Host-associated,Animal,Animal surface,4.913861283155254
1632.E2D01.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,5.411142054552936
1632.E2D02.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,4.780633760249335
1632.E2D03.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,3.711086474698608
1632.E2D05.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,5.158739013388575
1632.E2D06.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,4.228456892955444
1632.E2D07.r.EMPbird.v4.NoIndex.L001,,EMP sample,Host-associated,Animal,Animal surface,4.322982783223643
1632.E2D08.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,4.691123938379129
1632.E2D09.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,3.9095422033989617
1632.E2D10.r.EMPbird.v4.NoIndex.L001,,EMP sample,Host-associated,Animal,Animal surface,4.2667213544433835
1632.E2D11.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,4.4123898480004025
1632.E2D12.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,5.040144252616237
1632.E2E01.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,5.08172879596146
1632.E2E02.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,5.013923720027175
1632.E2E03.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,5.0054756102935585
1632.E2E05.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,5.296802516248102
1632.E2E06.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,6.598039332961368
1632.E2E07.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,5.330908237770138
1632.E2E08.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,5.126295203450743
1632.E2E09.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,4.398820283886115
1632.E2E10.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,4.420576695886667
1632.E2E11.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,3.8950553667346295
1632.E2E12.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,4.571731308973659
1632.E2F01.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,7.725287691445963
1632.E2F02.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,4.109537272086129
1632.E2F03.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,5.841883176023659
1632.E2F04.r.EMPbird.v4.NoIndex.L001,,EMP sample,Host-associated,Animal,Animal surface,4.562179345440096
1632.E2F05.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,4.8058721758377825
1632.E2F06.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,6.426452843674757
1632.E2F07.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,4.963403522319877
1632.E2F08.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,3.6610743871386333
1632.E2F09.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,3.808932463500757
1632.E2F10.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,3.8529621951127124
1632.E2F11.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,4.1848779845239195
1632.E2F12.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,4.82382164936416
1632.E2G01.r.EMPbird.v4.NoIndex.L001,,EMP sample,Host-associated,Animal,Animal surface,5.293309730556601
1632.E2G02.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,4.415793360033311
1632.E2G03.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,2.221181937920573
1632.E2G05.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,4.390876167946283
1632.E2G06.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,4.38263418182954
1632.E2G07.r.EMPbird.v4.NoIndex.L001,,EMP sample,Host-associated,Animal,Animal surface,3.656781040816603
1632.E2G08.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,3.844162749743017
1632.E2G11.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,4.035774655457937
1632.E2G12.r.EMPbird.v4.NoIndex.L001,,EMP sample,Host-associated,Animal,Animal surface,4.674232302935427
1632.E2H01.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,4.978398882622433
1632.E2H02.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,4.73814743393968
1632.E2H03.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,4.907265645168785
1632.E2H04.r.EMPbird.v4.NoIndex.L001,,EMP sample,Host-associated,Animal,Animal surface,2.393149508257804
1632.E2H05.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,4.2615851069560495
1632.E2H06.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,4.840567694413256
1632.E2H07.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,3.886955778418894
1632.E2H08.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,3.3583281208717377
1632.E2H09.r.EMPbird.v4.NoIndex.L001,,EMP sample,Host-associated,Animal,Animal surface,3.0531583880385678
1632.E2H11.r.EMPbird.v4.NoIndex.L001,,EMP sample,Host-associated,Animal,Animal surface,4.38070623374882
1632.E2H12.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,5.72092288697355
1632.E3A01.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,4.3895509843615494
1632.E3A02.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,3.4059165643841594
1632.E3A03.r.EMPbird.v4.NoIndex.L001,,EMP sample,Host-associated,Animal,Animal surface,3.3720210481386315
1632.E3A04.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,3.5209860790460685
1632.E3A05.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,3.771100754108499
1632.E3A07.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,4.591362006094994
1632.E3A08.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,4.639549719233761
1632.E3A09.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,4.7375832838509435
1632.E3A10.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,4.816927719696378
1632.E3A11.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,3.5493284300683228
1632.E3A12.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,3.529338428512256
1632.E3B01.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,4.453781054759446
1632.E3B02.r.EMPbird.v4.NoIndex.L001,,EMP sample,Host-associated,Animal,Animal surface,4.833140393377109
1632.E3B03.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,3.120164563942175
1632.E3B04.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,4.727736807900555
1632.E3B05.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,3.8889640782947854
1632.E3B06.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,3.8640994862388904
1632.E3B07.r.EMPbird.v4.NoIndex.L001,,EMP sample,Host-associated,Animal,Animal surface,3.101734746600601
1632.E3B08.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,4.632073042634325
1632.E3B09.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,4.0913082139008425
1632.E3B10.r.EMPbird.v4.NoIndex.L001,,EMP sample,Host-associated,Animal,Animal surface,4.229581840868965
1632.E3B11.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,3.5674172025221935
1632.E3B12.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,4.637264422590195
1632.E3C01.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,6.159183096441116
1632.E3C02.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,4.896172457992174
1632.E3C03.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,4.975959780637747
1632.E3C04.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,4.130092513811804
1632.E3C05.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,3.7054480238852685
1632.E3C06.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,3.7793231763270114
1632.E3C07.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,4.86495013454939
1632.E3C08.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,3.440503317626332
1632.E3C09.r.EMPbird.v4.NoIndex.L001,,EMP sample,Host-associated,Animal,Animal surface,4.693569736620418
1632.E3C10.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,4.122625209819265
1632.E3C11.r.EMPbird.v4.NoIndex.L001,,EMP sample,Host-associated,Animal,Animal surface,3.1199357513890766
1632.E3C12.r.EMPbird.v4.NoIndex.L001,,EMP sample,Host-associated,Animal,Animal surface,4.115898766569624
1632.E3D01.r.EMPbird.v4.NoIndex.L001,,EMP sample,Host-associated,Animal,Animal surface,5.334964096084123
1632.E3D02.r.EMPbird.v4.NoIndex.L001,,EMP sample,Host-associated,Animal,Animal surface,4.72999883143054
1632.E3D03.r.EMPbird.v4.NoIndex.L001,,EMP sample,Host-associated,Animal,Animal surface,5.353403336555116
1632.E3D04.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,4.5016588078989095
1632.E3D05.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,3.2313955245985846
1632.E3D06.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,4.493964618000105
1632.E3D07.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,5.07238930746916
1632.E3D08.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,4.073752980489123
1632.E3D09.r.EMPbird.v4.NoIndex.L001,,EMP sample,Host-associated,Animal,Animal surface,4.697304358669896
1632.E3D10.r.EMPbird.v4.NoIndex.L001,,EMP sample,Host-associated,Animal,Animal surface,3.532427648235592
1632.E3D11.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,4.146044346650597
1632.E3D12.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,3.6708424620876494
1632.E3E01.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,4.649025545069309
1632.E3E02.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,3.617430767987082
1632.E3E03.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,4.925680061757564
1632.E3E04.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,4.238738581947946
1632.E3E05.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,4.263437533643357
1632.E3E06.r.EMPbird.v4.NoIndex.L001,,EMP sample,Host-associated,Animal,Animal surface,4.83020516157198
1632.E3E07.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,3.7565238581246323
1632.E3E08.r.EMPbird.v4.NoIndex.L001,,EMP sample,Host-associated,Animal,Animal surface,4.160035142401051
1632.E3E09.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,4.562691195741236
1632.E3E10.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,4.40081415745604
1632.E3E11.r.EMPbird.v4.NoIndex.L001,,EMP sample,Host-associated,Animal,Animal surface,4.348554873063658
1632.E3E12.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,3.803897422666273
1632.E3F01.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,5.362226821751356
1632.E3F02.r.EMPbird.v4.NoIndex.L001,,EMP sample,Host-associated,Animal,Animal surface,4.581410195288841
1632.E3F03.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,4.205309916537437
1632.E3F04.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,3.1543485315370994
1632.E3F05.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,3.2218656872981977
1632.E3F06.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,3.698446921035712
1632.E3F07.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,3.8549558601811547
1632.E3F08.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,4.337264759751619
1632.E3F09.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,4.239553992434495
1632.E3F10.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,3.3441324566290414
1632.E3F11.r.EMPbird.v4.NoIndex.L001,,EMP sample,Host-associated,Animal,Animal surface,5.266566555703195
1632.E3F12.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,3.9802708880314324
1632.E3G01.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,5.9679925483367695
1632.E3G02.r.EMPbird.v4.NoIndex.L001,,EMP sample,Host-associated,Animal,Animal surface,4.46668676104632
1632.E3G03.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,3.9560098988017134
1632.E3G04.r.EMPbird.v4.NoIndex.L001,,EMP sample,Host-associated,Animal,Animal surface,3.947792168302156
1632.E3G05.r.EMPbird.v4.NoIndex.L001,,EMP sample,Host-associated,Animal,Animal surface,5.330689254460319
1632.E3G07.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,3.901133958044999
1632.E3G08.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,3.7448259834280964
1632.E3G09.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,4.222467466843401
1632.E3G10.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,3.5873086976738886
1632.E3G11.r.EMPbird.v4.NoIndex.L001,,EMP sample,Host-associated,Animal,Animal surface,4.388428042433922
1632.E3G12.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,4.205158950864244
1632.E3H01.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,3.799664808788815
1632.E3H02.r.EMPbird.v4.NoIndex.L001,,EMP sample,Host-associated,Animal,Animal surface,4.762475349727263
1632.E3H03.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,3.7638791028569103
1632.E3H04.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,4.958175469469357
1632.E3H05.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,3.8193486664735183
1632.E3H06.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,4.146580324553704
1632.E3H07.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,4.230889937482468
1632.E3H08.r.EMPbird.v4.NoIndex.L001,,EMP sample,Host-associated,Animal,Animal surface,3.971802640116301
1632.E3H09.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,3.4963444653972964
1632.E3H10.r.EMPbird.v4.NoIndex.L001,,EMP sample,Host-associated,Animal,Animal surface,4.268783020979748
1632.E3H11.r.EMPbird.v4.NoIndex.L001,,EMP sample,Host-associated,Animal,Animal surface,4.1168600981584325
1632.E3H12.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,4.163200428885118
1632.E4A01.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,3.927515307328308
1632.E4A02.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,2.710404446202253
1632.E4A03.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,3.5398248589161994
1632.E4A04.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,3.6537815623433842
1632.E4A05.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,5.369446624647298
1632.E4A06.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,4.109769910639977
1632.E4A07.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,4.932464938659158
1632.E4A08.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,4.182003104460671
1632.E4A09.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,3.728050886432564
1632.E4A10.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,3.4136265262058556
1632.E4A11.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,4.3549173615818
1632.E4A12.r.EMPbird.v4.NoIndex.L001,,EMP sample,Host-associated,Animal,Animal surface,3.9798456486986478
1632.E4B01.r.EMPbird.v4.NoIndex.L001,,EMP sample,Host-associated,Animal,Animal surface,4.057013369983355
1632.E4B02.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,4.3995713393755365
1632.E4B03.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,4.339848626284454
1632.E4B04.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,3.833056233875295
1632.E4B05.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,3.5815782002370753
1632.E4B06.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,3.1005422617020026
1632.E4B07.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,4.508442498064913
1632.E4B08.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,3.4764664873948625
1632.E4B09.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,3.6849992808280763
1632.E4B10.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,,EMP sample,Host-associated,Animal,Animal surface,4.316524604761452
